,nuclei_fA/diploid_fA_lower/diploid_fA_upper- | Count,nuclei_fA/tetraploid_fA | Count,line,rep,salt,week,plate
C10.fcs,6051,1111,D,4,1,12,2
C11.fcs,6827,1629,D,5,1,12,2
C12.fcs,8791,521,D,6,1,12,2
B1.fcs,2208,5379,A,1,0,15,1
B2.fcs,1749,6245,A,2,0,15,1
B3.fcs,2548,5471,A,3,0,15,1
B4.fcs,3680,4166,A,4,0,15,1
B5.fcs,2212,5620,A,5,0,15,1
B6.fcs,1694,6382,A,6,0,15,1
B7.fcs,1764,5969,B,1,0,15,1
B8.fcs,5313,2746,B,2,0,15,1
B9.fcs,1681,6034,B,3,0,15,1
B10.fcs,1834,5781,B,4,0,15,1
B11.fcs,1251,6159,B,5,0,15,1
B12.fcs,1490,6152,B,6,0,15,1
C1.fcs,2181,4658,C,1,0,15,1
C2.fcs,1118,5749,C,2,0,15,1
C3.fcs,4120,3774,C,3,0,15,1
C4.fcs,1001,6678,C,4,0,15,1
C5.fcs,3185,4926,C,5,0,15,1
C6.fcs,1322,5156,C,6,0,15,1
C7.fcs,7520,499,D,1,0,15,1
C8.fcs,5176,262,D,2,0,15,1
C9.fcs,7811,458,D,3,0,15,1
C10.fcs,6531,323,D,4,0,15,1
C11.fcs,6568,299,D,5,0,15,1
C12.fcs,3280,443,D,6,0,15,1
B1.fcs,653,6976,A,1,1,15,2
B2.fcs,1548,5446,A,2,1,15,2
B3.fcs,1635,6296,A,3,1,15,2
B4.fcs,2625,4821,A,4,1,15,2
B5.fcs,913,6429,A,5,1,15,2
B6.fcs,526,6819,A,6,1,15,2
B7.fcs,3558,4077,B,1,1,15,2
B8.fcs,1720,4203,B,2,1,15,2
B9.fcs,3415,2111,B,3,1,15,2
B10.fcs,3713,2470,B,4,1,15,2
B11.fcs,4630,3182,B,5,1,15,2
B12.fcs,3593,4500,B,6,1,15,2
C1.fcs,3806,4167,C,1,1,15,2
C2.fcs,1507,5927,C,2,1,15,2
C3.fcs,3545,1757,C,3,1,15,2
C4.fcs,3997,3083,C,4,1,15,2
C5.fcs,2262,3705,C,5,1,15,2
C6.fcs,2305,2250,C,6,1,15,2
C7.fcs,8449,409,D,1,1,15,2
C8.fcs,7632,728,D,2,1,15,2
C9.fcs,8823,1108,D,3,1,15,2
C10.fcs,8252,366,D,4,1,15,2
C11.fcs,7493,793,D,5,1,15,2
C12.fcs,8094,316,D,6,1,15,2
