,nuclei_fA/diploid_fA_lower/diploid_fA_upper- | Count,nuclei_fA/tetraploid_fA | Count,line,rep,salt,week,plate
Specimen_001_B2.fcs,1983,9680,B,2,0,3,1
Specimen_001_B3.fcs,1380,6055,B,3,0,3,1
Specimen_001_B4.fcs,1449,14289,B,4,0,3,1
Specimen_001_B5.fcs,2465,12662,B,5,0,3,1
Specimen_001_B6.fcs,1362,16436,B,6,0,3,1
Specimen_001_C1.fcs,3191,15810,C,1,0,3,1
Specimen_001_C2.fcs,1991,20965,C,2,0,3,1
Specimen_001_C3.fcs,3303,24260,C,3,0,3,1
Specimen_001_C4.fcs,1628,24719,C,4,0,3,1
Specimen_001_C5.fcs,1009,19357,C,5,0,3,1
Specimen_001_C6.fcs,1451,17573,C,6,0,3,1
Specimen_001_D1.fcs,6595,24674,D,1,0,3,1
Specimen_001_D2.fcs,5210,19219,D,2,0,3,1
Specimen_001_D3.fcs,2305,22293,D,3,0,3,1
Specimen_001_D4.fcs,6645,24058,D,4,0,3,1
Specimen_001_D5.fcs,5678,16567,D,5,0,3,1
Specimen_001_D6.fcs,2793,21041,D,6,0,3,1
Specimen_001_A1s.fcs,368,8750,A,1,1,3,1
Specimen_001_A2s.fcs,801,17056,A,2,1,3,1
Specimen_001_A3s.fcs,467,9337,A,3,1,3,1
Specimen_001_A4s.fcs,1541,11208,A,4,1,3,1
Specimen_001_A5s.fcs,548,10396,A,5,1,3,1
Specimen_001_A6s.fcs,1100,16811,A,6,1,3,1
Specimen_001_B1s.fcs,3812,29972,B,1,1,3,1
Specimen_001_B2s.fcs,688,14187,B,2,1,3,1
Specimen_001_B3s.fcs,2555,13009,B,3,1,3,1
Specimen_001_B4s.fcs,846,21620,B,4,1,3,1
Specimen_001_B5s.fcs,3219,19524,B,5,1,3,1
Specimen_001_B6s.fcs,2043,14603,B,6,1,3,1
Specimen_001_C1s.fcs,3108,14706,C,1,1,3,1
Specimen_001_C2s.fcs,1769,16853,C,2,1,3,1
Specimen_001_C3s.fcs,3802,14742,C,3,1,3,1
Specimen_001_C4s.fcs,2872,13662,C,4,1,3,1
Specimen_001_C6s.fcs,2405,12782,C,6,1,3,1
Specimen_001_D1s.fcs,2755,7965,D,1,1,3,1
Specimen_001_D2s.fcs,529,7023,D,2,1,3,1
Specimen_001_D3s.fcs,2218,8125,D,3,1,3,1
