concentration   strain  ploidy  rep RGR_fn  RGR_sa
3   9316    tet 6   0.152336    0.157392
3   13  dip 1   0.154659    0.181256
3   13  dip 2   0.101642    0.115856
3   13  dip 3   0.113762    0.110468
3   13  dip 4   0.155578    0.164251
3   13  dip 5   0.137685    0.120848
3   13  dip 6   0.134287    0.114741
3   13  tet 1   0.129837    0.120352
3   13  tet 2   0.107034    0.090204
3   13  tet 3   0.063902    0.099292
3   13  tet 4   0.093189    0.119604
3   13  tet 5   0.094337    0.083428
3   13  tet 6   0.094337    0.080951
3   9242    dip 1   0.161788    0.156078
3   9242    dip 2   0.144514    0.118968
3   9242    dip 3   0.15045 0.13716
3   9242    dip 4   0.120383    0.091302
3   9242    dip 5   0.136894    0.115435
3   9242    dip 6   0.171345    0.141556
3   9242    tet 1   0.143064    0.131564
3   9242    tet 2   0.133728    0.154246
3   9242    tet 3   0.167855    0.170864
3   9242    tet 4   0.177388    0.170813
3   9242    tet 5   0.1711  0.148798
3   9242    tet 6   0.138837    0.134728
3   9346    dip 1   0.149221    0.138552
3   9346    dip 2   0.117283    0.131573
3   9346    dip 3   0.148413    0.143325
3   9346    dip 4   0.151053    0.155499
3   9346    dip 5   0.149221    0.171482
3   9346    dip 6   0.131817    0.129731
3   9346    tet 1   0.107345    0.100152
3   9346    tet 2   0.110933    0.093284
3   9346    tet 3   0.102732    0.131229
3   9346    tet 4   0.099021    0.07501
3   9346    tet 5   0.136502    0.13578
3   9346    tet 6   0.113177    0.119193
4   9316    dip 1   0.125607    0.125173
4   9316    dip 2   0.166164    0.140226
4   9316    dip 3   0.124148    0.123311
4   9316    dip 4   0.128498    0.139644
4   9316    dip 5   0.127688    0.138147
4   9316    dip 6   0.121043    0.137959
4   9316    tet 1   0.155101    0.146459
4   9316    tet 2   0.121043    0.116484
4   9316    tet 3   0.149617    0.117826
4   9316    tet 4   0.125607    0.12415
4   9316    tet 5   0.159306    0.139679
4   9316    tet 6   0.181495    0.142117
4   13  dip 1   0.077304    0.094293
4   13  dip 2   0.083608    0.094844
4   13  dip 3   0.095211    0.084308
4   13  dip 4   0.111238    0.105249
4   13  dip 5   0.118385    0.103353
4   13  dip 6   0.099021    0.105945
4   13  tet 1   0.099021    0.083398
4   13  tet 2   0.071872    0.051654
4   13  tet 3   0.095579    0.070885
4   13  tet 4   0.072975    0.075335
4   13  tet 5   0.092575    0.08147
4   13  tet 6   0.067918    0.058165
4   9242    dip 1   0.113898    0.062056
4   9242    dip 2   0.082474    0.081812
4   9242    dip 3   0.135434    0.084119
4   9242    dip 4   0.097224    0.069906
4   9242    dip 5   0.085405    0.078641
4   9242    dip 6   0.113084    0.084395
4   9242    tet 1   0.107034    0.080308
4   9242    tet 2   0.134923    0.114418
4   9242    tet 3   0.102935    0.115084
4   9242    tet 4   0.138486    0.125287
4   9242    tet 5   0.143829    0.139023
4   9242    tet 6   0.128981    0.132176
4   9346    dip 1   0.094178    0.104087
4   9346    dip 2   0.072975    0.06691
4   9346    dip 3   0.122493    0.120081
4   9346    dip 4   0.127122    0.126144
4   9346    dip 5   0.129532    0.120661
4   9346    dip 6   0.132925    0.120485
4   9346    tet 1   0.059359    0.060016
4   9346    tet 2   0.050596    0.066139
4   9346    tet 3   0.076297    0.07537
4   9346    tet 4   0.087009    0.076823
4   9346    tet 5   0.052532    0.065459
4   9346    tet 6   0.080496    0.0891
6   9316    dip 1   0.066329    0.073074
6   9316    dip 2   0.034452    0.038907
6   9316    dip 3   0.006646    0.033107
6   9316    dip 4   0.111101    0.051586
6   9316    dip 5   0.039941    0.020299
6   9316    dip 6   0.049758    0.036317
6   9316    tet 1   0.078867    0.062945
6   9316    tet 2   0.091297    0.060322
6   9316    tet 3   0.086591    0.100449
6   9316    tet 4   0.053528    0.047607
6   9316    tet 5   0.062188    0.048315
6   9316    tet 6   0.111823    0.057817
6   13  dip 1   0.048067    0.032188
6   13  dip 2   0.029256    0.012749
6   13  dip 3   0.067143    0.019496
6   13  dip 4   0.067143    0.022521
6   13  dip 5   0.061948    0.016526
6   13  dip 6   0.042642    -0.01085
6   13  tet 1   0.069935    0.022985
6   13  tet 2   0.078578    0.012681
6   13  tet 3   0.084723    0.040221
6   13  tet 4   0.107187    0.072407
6   13  tet 5   0.071539    0.042365
6   13  tet 6   0.068979    0.044693
6   9242    dip 1   0.030042    0.006777
6   9242    dip 2   0.04632 0.027963
6   9242    dip 3   0.010332    -0.0136
6   9242    dip 4   0.022455    0.011492
6   9242    dip 5   0.06871 0.011578
6   9242    dip 6   0   0.000968
6   9242    tet 1   0.102383    0.060456
6   9242    tet 2   0.057924    0.047666
6   9242    tet 3   0.091297    0.051658
6   9242    tet 4   0.057924    0.033594
6   9242    tet 5   0.055838    0.047838
6   9242    tet 6   0.041097    0.056272
6   9346    dip 1   0.064136    0.039029
6   9346    dip 2   0.082474    0.033681
6   9346    dip 3   0.035902    0.036411
6   9346    dip 4   0.019511    0.022873
6   9346    dip 5   0.070354    0.042713
6   9346    dip 6   0.051429    0.031865
6   9346    tet 1   0.066329    0.026432
6   9346    tet 2   0.048067    0.005921
6   9346    tet 3   0.03073 0.002911
6   9346    tet 4   0.064569    0.016904
6   9346    tet 5   0.022022    0.004375
6   9346    tet 6   0.06778 0.052123
