,diploids,tetraploids,plate,line,rep,salt,iter,week,pop,plate
C3.fcs,10331,1266,1,B,2,0,1,2,B20,1
C4.fcs,10637,1514,1,B,2,0,2,2,B20,1
C5.fcs,8985,2830,1,B,3,0,1,2,B30,1
C6.fcs,10013,2083,1,B,3,0,2,2,B30,1
C7.fcs,10066,1295,1,B,4,0,1,2,B40,1
C8.fcs,12266,629,1,B,4,0,2,2,B40,1
C9.fcs,8771,332,1,B,5,0,1,2,B50,1
C10.fcs,7700,2904,1,B,5,0,2,2,B50,1
C11.fcs,8943,1870,1,B,6,0,1,2,B60,1
C12.fcs,7579,2471,1,B,6,0,2,2,B60,1
D1.fcs,10889,433,1,C,1,0,1,2,C10,1
D2.fcs,12383,497,1,C,1,0,2,2,C10,1
D3.fcs,11066,1310,1,C,2,0,1,2,C20,1
D4.fcs,10514,1473,1,C,2,0,2,2,C20,1
D5.fcs,13090,590,1,C,3,0,1,2,C30,1
D6.fcs,12522,689,1,C,3,0,2,2,C30,1
D7.fcs,10883,1315,1,C,4,0,1,2,C40,1
D8.fcs,10946,1491,1,C,4,0,2,2,C40,1
D9.fcs,8660,377,1,C,5,0,1,2,C50,1
D10.fcs,6893,1620,1,C,5,0,2,2,C50,1
D11.fcs,9351,1960,1,C,6,0,1,2,C60,1
D12.fcs,8009,2939,1,C,6,0,2,2,C60,1
E1.fcs,15442,829,1,D,1,0,1,2,D10,1
E2.fcs,13309,1468,1,D,1,0,2,2,D10,1
E3.fcs,11658,2477,1,D,2,0,1,2,D20,1
E4.fcs,13445,810,1,D,2,0,2,2,D20,1
E5.fcs,15382,688,1,D,3,0,1,2,D30,1
E6.fcs,13912,2207,1,D,3,0,2,2,D30,1
E7.fcs,13567,654,1,D,4,0,1,2,D40,1
E8.fcs,15860,780,1,D,4,0,2,2,D40,1
E9.fcs,13201,1696,1,D,5,0,1,2,D50,1
E10.fcs,13563,726,1,D,5,0,2,2,D50,1
E11.fcs,11976,1072,1,D,6,0,1,2,D60,1
E12.fcs,15682,840,1,D,6,0,2,2,D60,1
B1.fcs,9275,373,2,A,1,1,1,2,A11,2
B2.fcs,6202,1575,2,A,1,1,2,2,A11,2
B3.fcs,5730,953,2,A,2,1,1,2,A21,2
B4.fcs,9159,356,2,A,2,1,2,2,A21,2
B5.fcs,9542,412,2,A,3,1,1,2,A31,2
B6.fcs,6090,3141,2,A,3,1,2,2,A31,2
B7.fcs,7401,2212,2,A,4,1,1,2,A41,2
B8.fcs,8139,1337,2,A,4,1,2,2,A41,2
B9.fcs,10150,578,2,A,5,1,1,2,A51,2
B10.fcs,6963,2151,2,A,5,1,2,2,A51,2
B11.fcs,8740,1862,2,A,6,1,1,2,A61,2
B12.fcs,9570,1232,2,A,6,1,2,2,A61,2
C1.fcs,5716,2903,2,B,1,1,1,2,B11,2
C2.fcs,6980,263,2,B,1,1,2,2,B11,2
C3.fcs,6710,946,2,B,2,1,1,2,B21,2
C4.fcs,7548,243,2,B,2,1,2,2,B21,2
C5.fcs,9344,418,2,B,3,1,1,2,B31,2
C6.fcs,6928,1025,2,B,3,1,2,2,B31,2
C7.fcs,10099,525,2,B,5,1,1,2,B51,2
C8.fcs,8109,1249,2,B,5,1,2,2,B51,2
D1.fcs,9420,334,2,C,1,1,1,2,C11,2
D2.fcs,10855,371,2,C,1,1,2,2,C11,2
D3.fcs,9613,401,2,C,2,1,1,2,C21,2
D4.fcs,7447,1418,2,C,2,1,2,2,C21,2
D5.fcs,9665,431,2,C,3,1,1,2,C31,2
D6.fcs,8096,999,2,C,3,1,2,2,C31,2
D7.fcs,10232,413,2,C,4,1,1,2,C41,2
D8.fcs,8565,1123,2,C,4,1,2,2,C41,2
D9.fcs,9572,301,2,C,5,1,1,2,C51,2
D10.fcs,7527,1506,2,C,5,1,2,2,C51,2
D11.fcs,9432,451,2,C,6,1,1,2,C61,2
D12.fcs,9962,591,2,C,6,1,2,2,C61,2
E1.fcs,11593,425,2,D,1,1,1,2,D11,2
